feature_name,included_in_model,removed_reason
session_mean_gini_coefficient,False,high_VIF
session_beginning_gini_coefficient,False,high_VIF
session_middle_gini_coefficient,False,high_VIF
session_end_gini_coefficient,False,high_VIF
session_delta_gini_coefficient,False,high_VIF
session_mean_dominant_speaker_flag,False,high_VIF
session_beginning_dominant_speaker_flag,False,high_VIF
session_middle_dominant_speaker_flag,False,high_VIF
session_end_dominant_speaker_flag,False,high_VIF
session_delta_dominant_speaker_flag,False,high_VIF
session_mean_is_convergent,False,high_VIF
session_beginning_is_convergent,True,
session_middle_is_convergent,False,high_VIF
session_end_is_convergent,False,high_VIF
session_delta_is_convergent,False,high_VIF
session_mean_is_divergent,False,high_VIF
session_beginning_is_divergent,False,high_VIF
session_middle_is_divergent,False,high_VIF
session_end_is_divergent,False,high_VIF
session_delta_is_divergent,False,high_VIF
session_mean_is_procedural,False,high_VIF
session_beginning_is_procedural,False,high_VIF
session_middle_is_procedural,False,high_VIF
session_end_is_procedural,False,high_VIF
session_delta_is_procedural,False,high_VIF
session_mean_collective_engagement_score,False,high_VIF
session_beginning_collective_engagement_score,False,high_VIF
session_middle_collective_engagement_score,False,high_VIF
session_end_collective_engagement_score,False,high_VIF
session_delta_collective_engagement_score,False,high_VIF
session_mean_cross_disciplinary_bridging,False,high_VIF
session_beginning_cross_disciplinary_bridging,False,high_VIF
session_middle_cross_disciplinary_bridging,False,high_VIF
session_end_cross_disciplinary_bridging,False,high_VIF
session_delta_cross_disciplinary_bridging,False,high_VIF
session_mean_commitment_signal,False,high_VIF
session_beginning_commitment_signal,False,high_VIF
session_middle_commitment_signal,False,high_VIF
session_end_commitment_signal,False,high_VIF
session_delta_commitment_signal,False,high_VIF
session_mean_screenshare_active,False,high_VIF
session_beginning_screenshare_active,False,high_VIF
session_middle_screenshare_active,False,high_VIF
session_end_screenshare_active,False,high_VIF
session_delta_screenshare_active,False,high_VIF
session_mean_artifact_interaction,False,high_VIF
session_beginning_artifact_interaction,False,high_VIF
session_middle_artifact_interaction,False,high_VIF
session_end_artifact_interaction,False,high_VIF
session_delta_artifact_interaction,False,high_VIF
session_mean_problem_specificity_level,False,high_VIF
session_beginning_problem_specificity_level,False,missing_data
session_middle_problem_specificity_level,False,high_VIF
session_end_problem_specificity_level,False,missing_data
session_delta_problem_specificity_level,False,missing_data
session_mean_decision_crystallization_level,False,high_VIF
session_beginning_decision_crystallization_level,False,high_VIF
session_middle_decision_crystallization_level,False,high_VIF
session_end_decision_crystallization_level,False,high_VIF
session_delta_decision_crystallization_level,False,high_VIF
session_mean_ambition_level_ordinal,False,high_VIF
session_beginning_ambition_level_ordinal,False,high_VIF
session_middle_ambition_level_ordinal,False,high_VIF
session_end_ambition_level_ordinal,False,high_VIF
session_delta_ambition_level_ordinal,False,high_VIF
session_mean_is_novel_combination,False,high_VIF
session_beginning_is_novel_combination,False,high_VIF
session_middle_is_novel_combination,False,high_VIF
session_end_is_novel_combination,False,high_VIF
session_delta_is_novel_combination,False,high_VIF
session_mean_explicit_complementarity,False,high_VIF
session_beginning_explicit_complementarity,False,high_VIF
session_middle_explicit_complementarity,False,high_VIF
session_end_explicit_complementarity,False,high_VIF
session_delta_explicit_complementarity,False,high_VIF
session_mean_skill_gap_identified,False,high_VIF
session_beginning_skill_gap_identified,False,high_VIF
session_middle_skill_gap_identified,False,high_VIF
session_end_skill_gap_identified,False,high_VIF
session_delta_skill_gap_identified,False,high_VIF
session_mean_shared_vision_present,False,high_VIF
session_beginning_shared_vision_present,False,high_VIF
session_middle_shared_vision_present,False,high_VIF
session_end_shared_vision_present,False,high_VIF
session_delta_shared_vision_present,False,high_VIF
session_mean_pronoun_shift_occurred,False,high_VIF
session_beginning_pronoun_shift_occurred,False,high_VIF
session_middle_pronoun_shift_occurred,False,high_VIF
session_end_pronoun_shift_occurred,False,high_VIF
session_delta_pronoun_shift_occurred,False,high_VIF
session_mean_personal_disclosure,False,high_VIF
session_beginning_personal_disclosure,False,high_VIF
session_middle_personal_disclosure,False,high_VIF
session_end_personal_disclosure,False,high_VIF
session_delta_personal_disclosure,False,high_VIF
session_mean_laughter_appreciative,False,high_VIF
session_beginning_laughter_appreciative,False,high_VIF
session_middle_laughter_appreciative,False,high_VIF
session_end_laughter_appreciative,False,high_VIF
session_delta_laughter_appreciative,False,high_VIF
session_mean_laughter_shared_humor,False,high_VIF
session_beginning_laughter_shared_humor,False,high_VIF
session_middle_laughter_shared_humor,False,high_VIF
session_end_laughter_shared_humor,False,high_VIF
session_delta_laughter_shared_humor,True,
session_mean_laughter_tension_release,True,
session_beginning_laughter_tension_release,True,
session_middle_laughter_tension_release,True,
session_end_laughter_tension_release,True,
session_delta_laughter_tension_release,True,
session_mean_any_laughter,True,
session_beginning_any_laughter,True,
session_middle_any_laughter,True,
session_end_any_laughter,True,
session_delta_any_laughter,True,
session_mean_dissent_response_quality,True,
session_beginning_dissent_response_quality,False,missing_data
session_middle_dissent_response_quality,True,
session_end_dissent_response_quality,False,missing_data
session_delta_dissent_response_quality,False,missing_data
session_mean_dissent_was_present,True,
session_beginning_dissent_was_present,True,
session_middle_dissent_was_present,True,
session_end_dissent_was_present,True,
session_delta_dissent_was_present,True,
session_mean_dissent_response_exploratory,True,
session_beginning_dissent_response_exploratory,True,
session_middle_dissent_response_exploratory,True,
session_end_dissent_response_exploratory,True,
session_delta_dissent_response_exploratory,True,
session_mean_risk_acknowledgment_enthusiasm,True,
session_beginning_risk_acknowledgment_enthusiasm,True,
session_middle_risk_acknowledgment_enthusiasm,True,
session_end_risk_acknowledgment_enthusiasm,True,
session_delta_risk_acknowledgment_enthusiasm,True,
session_mean_funding_awareness,True,
session_beginning_funding_awareness,True,
session_middle_funding_awareness,True,
session_end_funding_awareness,True,
session_delta_funding_awareness,True,
session_mean_prior_relationship,True,
session_beginning_prior_relationship,True,
session_middle_prior_relationship,True,
session_end_prior_relationship,True,
session_delta_prior_relationship,True,
session_mean_meeting_structure_quality,True,
session_beginning_meeting_structure_quality,True,
session_middle_meeting_structure_quality,True,
session_end_meeting_structure_quality,True,
session_delta_meeting_structure_quality,True,
session_mean_num_Idea_Management,True,
session_beginning_num_Idea_Management,True,
session_middle_num_Idea_Management,True,
session_end_num_Idea_Management,True,
session_delta_num_Idea_Management,True,
session_mean_num_Information_Seeking,True,
session_beginning_num_Information_Seeking,True,
session_middle_num_Information_Seeking,True,
session_end_num_Information_Seeking,True,
session_delta_num_Information_Seeking,True,
session_mean_num_Knowledge_Sharing,True,
session_beginning_num_Knowledge_Sharing,True,
session_middle_num_Knowledge_Sharing,True,
session_end_num_Knowledge_Sharing,True,
session_delta_num_Knowledge_Sharing,True,
session_mean_num_Evaluation_Practices,True,
session_beginning_num_Evaluation_Practices,True,
session_middle_num_Evaluation_Practices,True,
session_end_num_Evaluation_Practices,True,
session_delta_num_Evaluation_Practices,True,
session_mean_num_Relational_Climate,True,
session_beginning_num_Relational_Climate,True,
session_middle_num_Relational_Climate,True,
session_end_num_Relational_Climate,True,
session_delta_num_Relational_Climate,True,
session_mean_num_Participation_Dynamics,True,
session_beginning_num_Participation_Dynamics,True,
session_middle_num_Participation_Dynamics,True,
session_end_num_Participation_Dynamics,True,
session_delta_num_Participation_Dynamics,True,
session_mean_num_Coordination_Decision,True,
session_beginning_num_Coordination_Decision,True,
session_middle_num_Coordination_Decision,True,
session_end_num_Coordination_Decision,True,
session_delta_num_Coordination_Decision,True,
session_mean_num_Integration_Practices,True,
session_beginning_num_Integration_Practices,True,
session_middle_num_Integration_Practices,True,
session_end_num_Integration_Practices,True,
session_delta_num_Integration_Practices,True,
session_mean_num_Idea_Ownership_Attribution,True,
session_beginning_num_Idea_Ownership_Attribution,True,
session_middle_num_Idea_Ownership_Attribution,True,
session_end_num_Idea_Ownership_Attribution,True,
session_delta_num_Idea_Ownership_Attribution,True,
session_mean_num_Future_Oriented_Language,True,
session_beginning_num_Future_Oriented_Language,True,
session_middle_num_Future_Oriented_Language,True,
session_end_num_Future_Oriented_Language,True,
session_delta_num_Future_Oriented_Language,True,
session_mean_num_Epistemic_Bridging,True,
session_beginning_num_Epistemic_Bridging,True,
session_middle_num_Epistemic_Bridging,True,
session_end_num_Epistemic_Bridging,True,
session_delta_num_Epistemic_Bridging,True,
session_mean_num_Pronoun_Framing,True,
session_beginning_num_Pronoun_Framing,True,
session_middle_num_Pronoun_Framing,True,
session_end_num_Pronoun_Framing,True,
session_delta_num_Pronoun_Framing,True,
session_mean_num_Complementarity_Articulation,True,
session_beginning_num_Complementarity_Articulation,True,
session_middle_num_Complementarity_Articulation,True,
session_end_num_Complementarity_Articulation,True,
session_delta_num_Complementarity_Articulation,True,
session_mean_num_Role_Anticipation,True,
session_beginning_num_Role_Anticipation,True,
session_middle_num_Role_Anticipation,True,
session_end_num_Role_Anticipation,True,
session_delta_num_Role_Anticipation,True,
session_mean_num_Broader_Significance,True,
session_beginning_num_Broader_Significance,True,
session_middle_num_Broader_Significance,True,
session_end_num_Broader_Significance,True,
session_delta_num_Broader_Significance,True,
session_mean_num_Idea_Novelty_Signal,True,
session_beginning_num_Idea_Novelty_Signal,True,
session_middle_num_Idea_Novelty_Signal,True,
session_end_num_Idea_Novelty_Signal,True,
session_delta_num_Idea_Novelty_Signal,True,
session_mean_mean_idea_quality_Idea_Management,True,
session_beginning_mean_idea_quality_Idea_Management,False,missing_data
session_middle_mean_idea_quality_Idea_Management,True,
session_end_mean_idea_quality_Idea_Management,False,missing_data
session_delta_mean_idea_quality_Idea_Management,False,missing_data
session_mean_pct_high_quality_Idea_Management,True,
session_beginning_pct_high_quality_Idea_Management,False,missing_data
session_middle_pct_high_quality_Idea_Management,True,
session_end_pct_high_quality_Idea_Management,False,missing_data
session_delta_pct_high_quality_Idea_Management,False,missing_data
session_mean_mean_idea_quality_Integration_Practices,True,
session_beginning_mean_idea_quality_Integration_Practices,False,missing_data
session_middle_mean_idea_quality_Integration_Practices,True,
session_end_mean_idea_quality_Integration_Practices,False,missing_data
